Id,PlayerId,GameId,Type,StatValue
1,1,1,Pts,22
2,1,1,Reb,9
3,1,1,Ast,6
4,2,1,Pts,12
5,2,1,Reb,12
6,2,1,Ast,3
7,3,1,Pts,25
8,3,1,Reb,14
9,3,1,Ast,3
10,4,1,Pts,25
11,4,1,Reb,0
12,4,1,Ast,0
13,5,1,Pts,22
14,5,1,Reb,7
15,5,1,Ast,6
16,6,1,Pts,21
17,6,1,Reb,13
18,6,1,Ast,2
19,7,1,Pts,21
20,7,1,Reb,1
21,7,1,Ast,2
22,8,1,Pts,29
23,8,1,Reb,7
24,8,1,Ast,3
25,9,1,Pts,9
26,9,1,Reb,8
27,9,1,Ast,6
28,10,1,Pts,10
29,10,1,Reb,13
30,10,1,Ast,4
31,11,1,Pts,0
32,11,1,Reb,9
33,11,1,Ast,3
34,12,1,Pts,20
35,12,1,Reb,8
36,12,1,Ast,6

37,13,2,Pts,27
38,13,2,Reb,11
39,13,2,Ast,5
40,14,2,Pts,23
41,14,2,Reb,3
42,14,2,Ast,0
43,15,2,Pts,15
44,15,2,Reb,10
45,15,2,Ast,4
46,16,2,Pts,23
47,16,2,Reb,6
48,16,2,Ast,1
49,17,2,Pts,27
50,17,2,Reb,10
51,17,2,Ast,1
52,18,2,Pts,11
53,18,2,Reb,13
54,18,2,Ast,4
55,19,2,Pts,18
56,19,2,Reb,11
57,19,2,Ast,4
58,20,2,Pts,29
59,20,2,Reb,2
60,20,2,Ast,3
61,21,2,Pts,18
62,21,2,Reb,8
63,21,2,Ast,5
64,22,2,Pts,19
65,22,2,Reb,4
66,22,2,Ast,1
67,23,2,Pts,6
68,23,2,Reb,5
69,23,2,Ast,5
70,24,2,Pts,13
71,24,2,Reb,5
72,24,2,Ast,0



